Commitment position key;Year;Name of beneficiary;Coordinator;VAT Number of beneficiary;Address;City;Postal code;Country / Territory;Amount;Geographical Zone;Expense Type;Co-financing rate;Total amount;Subject of grant or contract;Responsible Department;Budget line name and number;Action Type;Funding Type
AID.CTR.266924.01.1;2011;REPUBLIKA Y U RWANDA*REPUBLIQUE RWANDAISE REPUBLIC OF RWANDA;no;;-;-;;Rwanda;;Rwanda;Operational;N.A.;99.250.000,00 €;MDG Contract - pro forma comimitment of funds for 2nd half period;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.267951.01.1;2011;REPUBLIQUE DU NIGER*REPUBLIC OF NIGER;no;;-;-;;Niger;;Niger;Operational;N.A.;90.000.000,00 €;Appui budgétaire ;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.269046.01.1;2011;REPUBLIC OF ZAMBIA*REPUBLIQUE DE ZAMBIE;no;;-;-;;Zambia;;Zambia;Operational;N.A.;69.300.000,00 €;EDF10 Road Sector Budget Support tranches;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.266736.01.1;2011;REPUBLIC OF NAMIBIA*REPUBLIQUE DE NAMIBIE;no;;-;-;;Namibia;;Namibia;Operational;N.A.;38.000.000,00 €;ESPSP Budget Support;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.281974.01.1;2011;SOGEA SATOM SAS*;yes;;PLACE DE L EUROPE 9;RUEIL MALMAISON;92500;France;;Niger;Operational;N.A.;32.705.015,89 €;Entretien périodique des routes revêtues, lot 1 Route Tsernaoua- Madaoua;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.282299.01.1;2011;COMPAGNIE SAHELIENNE D ENTREPRISESSA C.S.E.*;yes;SN004106203M5042;ROCADE FANN BEL AIR;DAKAR;;Senegal;;Niger;Operational;N.A.;23.331.166,65 €;Groupement CSE/ EDIFFER.  Entretien périodique des routes revêtues, lot 2: Route  Madaoua- Guidan Roumji;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.267062.01.2;2011;REPUBLIQUE D HAITI* REPUBLIC OFHAITI;no;;-;-;;Haiti;;Haiti;Operational;N.A.;23.000.000,00 €;Appui budgetaire au PARDH et SNCRP;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.276741.01.1;2011;REPUBLICA DOMINICANA*REPUBLIQUE DOMINICAINE DOMINICAN REPUBLIC;no;;-;-;;Dominican Republic;;Dominican Republic;Operational;N.A.;22.900.000,00 €;Apoyo Presupuestario Sectorial Competitividad-Compromiso Individual.;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.267062.01.1;2011;REPUBLIQUE D HAITI* REPUBLIC OFHAITI;no;;-;-;;Haiti;;Haiti;Operational;N.A.;21.000.000,00 €;Appui budgetaire au PARDH et SNCRP;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.262037.01.1;2011;ASSOCIATION RESEAU DES AIRES PROTEGEES D'AFRIQUE CENTRALE*RAPAC;yes;GA084209X;.;LIBREVILLE;;Gabon;;Central Africa Region (EDF 10);Operational;100 %;20.531.299,00 €;Programme de conservation et de valorisation des Ecosystèmes Fragilisés d’Afrique Centrale : ECOFAC ;Directorate-General for Development and Cooperation — EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Grant
