Commitment position key;Year;Name of beneficiary;Coordinator;VAT Number of beneficiary;Address;City;Postal code;Country / Territory;Amount;NUTS2;Geographical Zone;Expense Type;Co-financing rate;Total amount;Subject of grant or contract;Responsible Department;Budget line name and number;Action Type;Funding Type
AID.CTR.307553.01.1;2012;REPUBLIQUE DE COTE D IVOIRE*REPUBLIC OF IVORY COAST;no;;-;-;;Ivory coast;;;Ivory Coast;Operational;;115.000.000,00 €;Programme d''appui budgétaire à la restauration des services de l''Etat en Côte d''Ivoire;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.307798.01.1;2012;REPUBLIC OF MALAWI*REPUBLIQUE DU MALAWI;no;;-;-;;Malawi;;;Malawi;Operational;;98.000.000,00 €;Good Governance and Development Contract I;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.308061.01.1;2012;REPUBLIC OF GHANA* REPUBLIQUE DUGHANA;no;;-;-;;Ghana;;;Ghana;Operational;;50.000.000,00 €;Ghana: Maternal Health Support Programme;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.307022.01.1;2012;REPUBLIQUE DU BENIN*REPUBLIC OF BENIN;no;;-;-;;Benin;;;Benin;Operational;;49.200.000,00 €;Décaissements des tranches fixes et variables 2012, 2013 et 2014;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.310112.01.1;2012;REPUBLIC OF GHANA* REPUBLIQUE DUGHANA;no;;-;-;;Ghana;;;Ghana;Operational;;44.500.000,00 €;GHANA DECENTRALISATION SUPPORT PROGRAMME II (GDSP II);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.307056.01.1;2012;REPUBLICA DOMINICANA*REPUBLIQUE DOMINICAINE DOMINICAN REPUBLIC;no;;-;-;;Dominican Republic;;;Dominican Republic;Operational;;43.000.000,00 €;SBS Education - PAPSE II;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.245974.01.4;2012;REPUBLIQUE DU NIGER*REPUBLIC OF NIGER;no;;-;-;;Niger;;;Niger;Operational;;42.500.000,00 €;Appui budgétaire sectoriel 2010 et 2011 pour la sécurité alimentaire;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.300420.01.1;2012;JAMHURI YA MWUNGANO WA TANZANIA*REPUBLIQUE UNIE DE TANZANIE UNITED REPUBLIC OF TANZANIA;no;;-;-;;Tanzania;;;Tanzania;Operational;;42.000.000,00 €;Road Sector Budget Support;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.304329.01.1;2012;REPUBLIQUE DU BENIN*REPUBLIC OF BENIN;no;;-;-;;Benin;;;Benin;Operational;;40.000.000,00 €;Appui budgétaire sectoriel non affecté  PADL;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.309624.01.1;2012;REPUBLIC OF LIBERIA*REPUBLIQUE DU LIBERIA;no;;-;-;;Liberia;;;Liberia;Operational;;39.800.000,00 €;SUPPORT TO THE HEALTH PLAN AND ROAD MAP FOR ACCELERATING THE REDUCTION OF MATERNAL MORBIDITY AND MORTALITY IN LIBERIA;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
