Commitment position key;Year;Name of beneficiary;Coordinator;VAT Number of beneficiary;Address;City;Postal code;Country / Territory;Amount;NUTS2;Geographical Zone;Expense Type;Total amount;Subject of grant or contract;Responsible Department;Budget line name and number;Action Type;Funding Type
AID.CTR.320473.01.1;2013;REPUBLIQUE DU MALI*REPUBLIC OF MALI;no;;-;-;;Mali;0,00€;;Mali;Operational;220.000.000,00€;Partie aide budgétaire globale du contrat pour l'appui à la Consolidation de l'Etat  pour le Mali.;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Budget support
AID.CTR.332607.01.1;2013;REPUBLIQUE DU NIGER*REPUBLIC OF NIGER;no;;-;-;;Niger;0,00€;;Niger;Operational;81.000.000,00€;Appui budgetaire Contrat Bonne Gouvernance et Developpement (CBGD)  2013-2015;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Budget support
AID.CTR.314316.01.1;2013;REPUBLIKA Y U BURUNDI*REPUBLIQUE DUBURUNDI REPUBLIC OF BURUNDI;no;;-;-;;Burundi;0,00€;;Burundi;Operational;42.000.000,00€;FABRICE - Tranches fixes et variables;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Budget support
AID.CTR.328263.01.1;2013;AL JUMHURIYAH AL ISLAMIYAH AL MURITANIYAH*REPUBLIQUE ISLAMIQUE DE MAURITANIE ISLAMIC REPUBLIC OF MAURITANIA;no;;-;-;;Mauritania;0,00€;;Mauritania;Operational;40.000.000,00€;Composante d'appui budgétaire du Programme d'appui budgétaire - SBC RIM;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Budget support
AID.CTR.314591.01.1;2013;ECONOMIC COMMUNITY OF WEST AFRICANSTATES*ECOWAS;yes;;YAKUBU GOWON 60;ABUJA;.;Nigeria;0,00€;;ACP Countries;Operational;39.471.054,00€;AFISMA / MISMA;Directorate-General for Development and Cooperation — EuropeAid;Intra ACP - Peace Facility (04.20.50);European Development Fund (10th EDF);Grants
AID.CTR.332228.01.1;2013;REPUBLIKA Y U RWANDA*REPUBLIQUE RWANDAISE REPUBLIC OF RWANDA;no;;-;-;;Rwanda;0,00€;;Rwanda;Operational;36.000.000,00€;Sector Policy Support Programme (SPSP) for Rural Feeder Roads -Sector budget support(centralised management) EUR 36 000 000;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Budget support
AID.CTR.319909.01.1;2013;BURKINA FASO*;no;;-;-;;Burkina Faso;0,00€;;Burkina Faso;Operational;30.000.000,00€;PAPS Santé - ABS (Appui budgétaire sectoriel);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Budget support
AID.CTR.333884.01.1;2013;REPUBLIQUE DU SENEGAL*REPUBLIC OFSENEGAL;no;;-;-;;Senegal;0,00€;;Senegal;Operational;28.500.000,00€;Appui budgétaire sectoriel à l'environnement;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Budget support
AID.CTR.331178.01.1;2013;REPUBLIC OF SIERRA LEONE*REPUBLIQUEDE SIERRA LEONE;no;;-;-;;Sierra Leone;0,00€;;Sierra Leone;Operational;28.000.000,00€;State Building Contract - direct Budget Support to GoSL;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Budget support
AID.CTR.323057.01.1;2013;REPUBLICA DE CABO VERDE*REPUBLIQUEDU CAP VERT REPUBLIC OF CAPE VERDE;no;;-;-;;Cape Verde;0,00€;;Cape Verde;Operational;26.500.000,00€;Appui budgétaire à la bonne gouvernance et au développement du Partenariat Spécial Cap Vert-UE;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Budget support
AID.CTR.321660.01.1;2013;KINGDOM OF LESOTHO*ROYAUME DU LESOTHO;no;;-;-;;Lesotho;0,00€;;Lesotho;Operational;24.100.000,00€;2nd Fixed & Variable Tranches FY 2013 and 3rd Fixed & Variable Tranches FY 2014;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Budget support
AID.CTR.313065.01.1;2013;LEFATSHE LA BOTSWANA*REPUBLIC OF BOTSWANA REPUBLIQUE DU BOTSWANA;no;;-;-;;Botswana;0,00€;;Botswana;Operational;23.680.000,00€;FLEX 2010 budget support disbursements (application year 2009);Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Budget support
AID.CTR.318788.01.1;2013;REPUBLIQUE FRANCAISE*FRENCH REPUBLIC;no;;-;-;;France;0,00€;;Mayotte;Operational;23.124.019,81€;Programme d'appui du plan de développement territorial de Mayotte;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Budget support
AID.CTR.329749.01.1;2013;REPUBLIQUE TOGOLAISE*TOGOLESE REPUBLIC;no;;-;-;;Togo;0,00€;;Togo;Operational;22.500.000,00€;Programme d'Appui Budgétaire aux Politiques Publiques (ABPP);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Budget support
