Commitment position key;Year;Name of beneficiary;Coordinator;VAT Number of beneficiary;Address;City;Postal code;Country / Territory;Amount;NUTS2;Geographical Zone;Expense Type;Total amount;Subject of grant or contract;Responsible Department;Budget line name and number;Action Type;Funding Type
CCR.PSR.P2013019824.2;2013;THE FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS*FAO ORGANISATION DES NATIONS UNIES POUR L'ALIENTATION ET L'AGRICULTURE;no;;VIALE DELLE TERME DI CARACALLA;ROMA;00153;Italy;288,44€;;;Administrative;12.243,23€;;Joint Research Centre;Non-nuclear activities of the Joint Research Centre (JRC) (10.02.01);Research: Framework  programme n°7;Provisional commitment followed by payment
;;KYPRIAKI DIMOKRATIA*REPUBLIQUE DECHYPRE REPUBLIC OF CYPRUS KIBRIS CUMHURIYETI;no;;-;-;;Cyprus;634,48€;;;;0,00€;;;;;
;;"NATURAL PERSON ; PERSONNE PRIVÉE ; PRIVATPERSON - Art. 21(2) RAP";no;*****;*****;*****;*****;United Kingdom;350,85€;;;;0,00€;;;;;
;;"NATURAL PERSON ; PERSONNE PRIVÉE ; PRIVATPERSON - Art. 21(2) RAP";no;*****;*****;*****;*****;Netherlands;250,24€;;;;0,00€;;;;;
;;"NATURAL PERSON ; PERSONNE PRIVÉE ; PRIVATPERSON - Art. 21(2) RAP";no;*****;*****;*****;*****;Germany;274,23€;;;;0,00€;;;;;
;;"NATURAL PERSON ; PERSONNE PRIVÉE ; PRIVATPERSON - Art. 21(2) RAP";no;*****;*****;*****;*****;Spain;326,35€;;;;0,00€;;;;;
;;"NATURAL PERSON ; PERSONNE PRIVÉE ; PRIVATPERSON - Art. 21(2) RAP";no;*****;*****;*****;*****;Italy;73,89€;;;;0,00€;;;;;
;;AARHUS UNIVERSITET*AU AARHUS UNIVERSITY;no;DK31119103;NORDRE RINGGADE 1;ARHUS C;8000;Denmark;542,67€;;;;0,00€;;;;;
;;"NATURAL PERSON ; PERSONNE PRIVÉE ; PRIVATPERSON - Art. 21(2) RAP";no;*****;*****;*****;*****;United Kingdom;514,07€;;;;0,00€;;;;;
;;"NATURAL PERSON ; PERSONNE PRIVÉE ; PRIVATPERSON - Art. 21(2) RAP";no;*****;*****;*****;*****;Spain;383,62€;;;;0,00€;;;;;
;;"NATURAL PERSON ; PERSONNE PRIVÉE ; PRIVATPERSON - Art. 21(2) RAP";no;*****;*****;*****;*****;Germany;300,21€;;;;0,00€;;;;;
;;KINGSTON UNIVERSITY HIGHER EDUCATION CORPORATION*;no;GB564294814;HIGH STREET 53-57;KINGSTON UPON THAMES;KT1 1LQ;United Kingdom;582,86€;;;;0,00€;;;;;
;;"NATURAL PERSON ; PERSONNE PRIVÉE ; PRIVATPERSON - Art. 21(2) RAP";no;*****;*****;*****;*****;Italy;291,50€;;;;0,00€;;;;;
;;DEMOS SA*DEMOS TRAINING;no;FR42722030277;RUE DE L ARCADE 20;PARIS;75008;France;2.975,51€;;;;0,00€;;;;;
;;"NATURAL PERSON ; PERSONNE PRIVÉE ; PRIVATPERSON - Art. 21(2) RAP";no;*****;*****;*****;*****;Malta;266,58€;;;;0,00€;;;;;
;;FUNDACIO ALICIA, ALIMENTACIO I CIENCIA, FUNDACIO PRIVADA*;no;ESG63360531;CAMI DE SANT BENET SN;SANT FRUITOS DE BAGES BARCELONA;08272;Spain;263,59€;;;;0,00€;;;;;
;;"NATURAL PERSON ; PERSONNE PRIVÉE ; PRIVATPERSON - Art. 21(2) RAP";no;*****;*****;*****;*****;Belgium;242,72€;;;;0,00€;;;;;
;;AIR PULLMAN NOLEGGI SRL*;no;IT01737910123;VIA ENRICO FERMI 9;ASSAGO MI;20090;Italy;375,40€;;;;0,00€;;;;;
;;"NATURAL PERSON ; PERSONNE PRIVÉE ; PRIVATPERSON - Art. 21(2) RAP";no;*****;*****;*****;*****;Netherlands;273,59€;;;;0,00€;;;;;
;;"NATURAL PERSON ; PERSONNE PRIVÉE ; PRIVATPERSON - Art. 21(2) RAP";no;*****;*****;*****;*****;Sweden;210,37€;;;;0,00€;;;;;
;;"NATURAL PERSON ; PERSONNE PRIVÉE ; PRIVATPERSON - Art. 21(2) RAP";no;*****;*****;*****;*****;Germany;347,27€;;;;0,00€;;;;;
;;BUREAU EUROPEEN DES UNIONS DE CONSOMMATEURS BEUC AISBL*;no;BE0422071051;RUE D ARLON 80;BRUXELLES;1040;Belgium;252,63€;;;;0,00€;;;;;
;;"NATURAL PERSON ; PERSONNE PRIVÉE ; PRIVATPERSON - Art. 21(2) RAP";no;*****;*****;*****;*****;France;526,92€;;;;0,00€;;;;;
;;FOODDRINKEUROPE AISBL*;no;BE0419460266;AVENUE DES NERVIENS 9 31;BRUXELLES;1040;Belgium;213,90€;;;;0,00€;;;;;
;;"NATURAL PERSON ; PERSONNE PRIVÉE ; PRIVATPERSON - Art. 21(2) RAP";no;*****;*****;*****;*****;Belgium;308,24€;;;;0,00€;;;;;
;;"NATURAL PERSON ; PERSONNE PRIVÉE ; PRIVATPERSON - Art. 21(2) RAP";no;*****;*****;*****;*****;Ireland;390,75€;;;;0,00€;;;;;
;;UNIVERSITEIT MAASTRICHT*;no;NL003475268B01;MINDERBROEDERSBERG 4;MAASTRICHT;6200 MD;Netherlands;266,01€;;;;0,00€;;;;;
;;LANDBRUG & FODEVARER LANDBRUGSRAADET DANSK LANDBRUG FORENING*DAFC DANISH AGRICULTURE & FOOD COUNCIL;no;DK25529529;AXELTORV 3;KOBENHAVN;1609;Denmark;227,69€;;;;0,00€;;;;;
;;RIJKSINSTITUUT VOOR VOLKSGEZONDHEIDEN MILIEU*NATIONAL INSTITUTEFOR PUBLIC HEALTH AND THE ENVIRONMENT;no;NL006756402B17;ANTONIE VAN LEEUWENHOEKLAAN 9;MA BILTHOVEN;3721;Netherlands;288,65€;;;;0,00€;;;;;
SI2.646923.3;2013;PAU EDUCATION SL*;yes;ESB60381720;CALLE MUNTANER  262/3;BARCELONA;08021;Spain;0,00€;;;Administrative;12.240,90€;COMMUNICATION CAMPAIGN  YOUTH ON THE MOVE 2013 1ST SEMESTER;Directorate-General for Education and Culture;Culture Programme (2007 to 2013) — Expenditure on administrative management (15.01.04.44);Culture;Public procurement (including provisional commitments)
D45.B1313.002065.1;2013;PROGETTOMONDO MOVIMENTO LAICI AMERICA LATINA (PROGETTOMONDO MLAL) ASSOCIAZIONE*;yes;;VIALE PALLADIO 16;VERONA;37138;Italy;0,00€;;;Operational;12.230,00€;SERVICE VOLONTAIRE EUROPEEN : GIOVANI PER QALAUMA;Education, Audiovisual and Culture Executive Agency;Youth in Action (15.05.55);Youth in Action;Grants
SLG.CMM.2013.26528.1;2013;COMPAREX NEDERLAND BV*;yes;NL801250857B01;NARITAWEG 177;AMSTERDAM;1043 BW;Netherlands;0,00€;;;Administrative;12.229,00€;PURCHASE AND/OR MAINTENANCE OF INFORMATION TECHNOLOGIES AND/OR COMMUNICATION EQUIPMENT;Directorate-General for Informatics;Expenditure related to information and communication technology equipment and services of the Commission (XX.01.03.01);XX Administrative expenditure allocated to policy areas;Public procurement (including provisional commitments)
SLG.CMM.2013.13049.1;2013;VERIZON BELGIUM LUXEMBOURG NV*;no;BE0452182326;CULLIGANLAAN 2E;DIEGEM;1831;Belgium;0,00€;;;Administrative;12.197,00€;Analyst/Consultant/Architect/Expert/Webmaster/Engineer for information technologies systems and/or services;Directorate-General for Informatics;Expenditure related to information and communication technology equipment and services of the Commission (XX.01.03.01);XX Administrative expenditure allocated to policy areas;Public procurement (including provisional commitments)
SI2.670914.1;2013;BELGACOM SA*;yes;BE0202239951;BOULEVARD DU ROI ALBERT II 27;BRUXELLES;1030;Belgium;0,00€;;;Administrative;12.187,01€;MAINTENANCE VIDEO CONFERENCE SYSTEM GRANGE;Directorate-General for Health and Consumers;Buildings and related expenditure of the Health and consumer protection policy area: Grange (17.01.03.03);17 Health and consumers;Public procurement (including provisional commitments)
SLG.CMM.2013.27740.1;2013;BELGACOM SA*;yes;BE0202239951;BOULEVARD DU ROI ALBERT II 27;BRUXELLES;1030;Belgium;0,00€;;;Administrative;12.170,22€;PURCHASE OF INFORMATION TECHNOLOGIES AND/OR COMMUNICATION EQUIPMENT;Directorate-General for Informatics;Expenditure related to information and communication technology equipment and services of the Commission (XX.01.03.01);XX Administrative expenditure allocated to policy areas;Public procurement (including provisional commitments)
SLG.CMM.2013.27745.1;2013;BELGACOM SA*;yes;BE0202239951;BOULEVARD DU ROI ALBERT II 27;BRUXELLES;1030;Belgium;0,00€;;;Administrative;12.170,22€;PURCHASE OF INFORMATION TECHNOLOGIES AND/OR COMMUNICATION EQUIPMENT;Directorate-General for Informatics;Expenditure related to information and communication technology equipment and services of the Commission (XX.01.03.01);XX Administrative expenditure allocated to policy areas;Public procurement (including provisional commitments)
CPM.312797-1198201.2;2013;INGENIERIA DE SISTEMAS PARA LA DEFENSA DE ESPANA SA*ISDEFE;no;ESA78085719;CALLE BEATRIZ DE BOBADILLA 3;MADRID;28040;Spain;0,00€;;;Administrative;12.168,55€;ABC GATES FOR EUROPE;Research Executive Agency;Security research (02.04.01.02);Research: Framework  programme n°7;Grants
